Complaint ID,Product,Issue,Sub-issue,Consumer complaint narrative
23807686,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I am writing in response to your recent communication regarding the above-referenced alleged debt. Please be advised that your initial communication with me regarding this matter occurred within the past 30 days. I am formally disputing the validity of the alleged debt in its entirety. Pursuant to the Fair Debt Collection Practices Act ( FDCPA ), I hereby request that you provide the following : 1. The name and address of the original creditor ; and 2. A copy of the agreement bearing my original signature, which allegedly binds me to this debt. You are attempting to collect money that I do not owe, and any continued collection activities without proper validation are unlawful. You are hereby directed to cease and desist from : All collection efforts ; Any form of contact with me regarding this matter ; and Any and all credit reporting related to this alleged debt. I further demand that you immediately request the deletion of any and all credit reporting you may have made to the credit reporting agencies in relation to this alleged account. Please be advised that this letter may be shared with the Consumer Financial Protection Bureau ( CFPB ), which is fully authorized to investigate and address such matters. Should you fail to comply with the lawful requests in this letter, I may choose to seek legal counsel and take further action."
24150700,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"b'i requested the following information with no response from the company:\nCertified Mail: XXXX XXXX XXXX XXXX XXXX XXXX \nXX/XX/XXXX \nXXXX XXXX \nXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXKimball Tirey & St. John XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX \nRE: Account XXXX \nDear Kimball Tirey & St. John, \nThis letter is a request for information regarding the account listed above. At this time Im \nrequesting the following documents: \n1. Documentation establishing your authority to collect on this account; \n2. The name and address of the current creditor; \n3. Documentation identifying the original creditor and original account number; \n4. An itemization of the amount allegedly owed; \n5. Complete account payment history; \n6. Copies of any notices sent to me regarding this account; \n7. Copies of any disputes received from me and the results of any investigations conducted; \n8. Documentation supporting the accuracy of any information furnished to any consumer \nreporting agency concerning this account. \nPlease send the requested information within 14 business days. \nSincerely, XXXX XXXX XXXX'"
24023145,Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,On XX/XX/year> Prg XXXX left a voice mail with my daughter and husband stating XXXX XXXX which was my name before I married twice now that there was a compliant that was pending being filed due to lack of response. I was contacted once by a different company never by this one in writing or phone. When I spoke to a person they stated that I had to make a payment today or a payment plan or I was going to be sued. I explained that I had talked with the original debt company and they explained it was bought and I had to make arrangements to pay this I could talk with someone to see if I qualify for a discount due to my limited free money at this time another person got on the phone and stated I had two choices I could pay today or they could put a lein on my car they would garnish my wages and proceeded to bully and make assumptions about what was going to happen. They gave me a deadline and then said I had until XXXX to pay. I told them I couldn't do those arrangements. They then messaged my husband again with the message that I needed to pay. They sent email stating that I had agreed to male a payment and the payment was denied that was false information they had no bank account information from me noe was any payment attempts were made on my current bank account in fact the bank account on original contract has been closed for over 3 years.
23770286,Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am filing this complaint to dispute the accuracy and validity of a collection account being reported by Jefferson Capital LLC. The account in question is reported with a balance of {$1600.00} and was opened on XX/XX/2025. The credit report fails to identify the original creditor and provides incomplete account information, making it impossible for me to verify that this debt belongs to me or that the information being reported is accurate. Under the Fair Credit Reporting Act ( 15 U.S.C. 1681s-2 ), furnishers of information have a legal obligation to report complete and accurate information to consumer reporting agencies. Reporting an account without identifying the original creditor or providing sufficient information to verify the debt is misleading and potentially inaccurate. Additionally, pursuant to the Fair Debt Collection Practices Act ( 15 U.S.C. 1692e and 1692f ), debt collectors are prohibited from using false, deceptive, misleading, or unfair practices in connection with the collection of any debt. Reporting incomplete or unverifiable information to the credit bureaus may violate these provisions. I respectfully request that Jefferson Capital LLC provide competent evidence demonstrating that : I am legally responsible for this alleged debt. They have the legal authority to collect and report this account. The balance reported is accurate. The original creditor is properly identified. The account information being furnished to the credit reporting agencies is complete and fully compliant with the Fair Credit Reporting Act. If Jefferson Capital LLC can not provide adequate documentation substantiating the debt and the accuracy of its reporting, I request that this account be permanently deleted from all consumer reporting agencies. I also request that the Consumer Financial Protection Bureau investigate this matter to ensure compliance with all applicable federal consumer protection laws."
23881757,Debt collection,False statements or representation,Attempted to collect wrong amount,"I am submitting this complaint regarding Genesis XXXX XXXX collection and credit reporting practices concerning XXXX XXXX XXXX Case No. XXXX. On XX/XX/XXXX, the XXXX XXXX XXXX entered a judgment in favor of XXXX XXXX XXXX XXXX against me in the amount of {$4600.00}, with post-judgment interest awarded at 6.5 % per year until paid in full. A copy of the signed judgment is attached. Genesis XXXX XXXX began reporting this account on my credit report in approximately XX/XX/XXXX. Genesis is currently reporting and attempting to collect {$10000.00}, which is more than double the amount awarded in the courts judgment. Because the balance being reported appeared substantially higher than the judgment, I have never made a payment toward this account. Instead, I attempted to determine the correct amount legally owed before making payment. On XX/XX/XXXX, I sent Genesis XXXX XXXX a written request asking them to provide : * Proof that they are legally authorized to collect the judgment. * A complete itemized accounting of the balance. * A breakdown of all interest, fees, costs, and additional charges. * Documentation identifying the legal authority supporting each amount added after the court entered judgment. Genesis responded the same day. However, instead of providing the requested accounting, Genesis sent me a XXXX XXXXXXXX XXXX XXXX XXXX XXXX. That document lists alleged move-out charges but does not explain how Genesis calculated the current balance of {$10000.00}, identify the legal basis for the additional amounts being collected, or provide an itemized accounting of the judgment balance. The court judgment and the XXXX move-out statement are separate documents. The move-out statement does not explain how Genesis calculated the amount it is attempting to collect after entry of the judgment. In addition, I disputed this account directly with XXXX XXXX XXXX XXXX by certified mail. I included copies of the court judgment and explained that Genesis was reporting a balance that appeared inconsistent with the judgment entered by the court. Despite these disputes, the balance continues to be reported without explanation. Throughout this process, I have acted in good faith. I have not refused to pay a valid debt. Rather, I have repeatedly requested documentation establishing how Genesis calculated the amount it claims I owe so that I can verify the balance before making payment. The continued reporting of a balance exceeding {$10000.00} has caused me substantial harm. The account has negatively affected my ability to obtain housing and employment opportunities because landlords and employers frequently review consumer credit reports during their decision-making processes. I believe the reporting of this balance has damaged my financial reputation and has limited opportunities that may otherwise have been available to me. Because Genesis has not provided the itemized accounting I requested and continues to report and attempt to collect a balance that I believe is unsupported by the court judgment and the documentation provided to me, I am considering pursuing legal remedies, including claims under the Fair Debt Collection Practices Act ( FDCPA ) and the Fair Credit Reporting Act ( FCRA ) if this matter is not resolved. I respectfully request that the Consumer Financial Protection Bureau investigate Genesis XXXX XXXX and require the company to : 1. Provide a complete itemized accounting of the balance it claims is owed. 2. Identify the legal authority supporting every amount added after the court judgment. 3. Correct any inaccurate information being furnished to XXXX XXXX XXXX XXXX if the reported balance can not be substantiated. 4. Cease attempting to collect any amount that can not be legally supported. I appreciate the CFPBs assistance in reviewing this matter and helping ensure that the amount being reported and collected is accurate and supported by law. Attachments * XXXX XXXX XXXX XXXX dated XX/XX/XXXX. * XXXX Summary of Move Out Charges provided by Genesis XXXX XXXX * My written request for an itemized accounting dated XX/XX/XXXX. * Genesis XXXX XXXX response dated XX/XX/XXXX. * Certified mail receipts and dispute letters sent to XXXX XXXX XXXX XXXX * Credit report showing Genesis XXXX XXXX reporting a balance of {$10000.00}."
24220295,Debt collection,False statements or representation,Attempted to collect wrong amount,"I am filing this complaint regarding an auto insurance balance that was sent to Credit Collection Services by XXXX XXXX XXXXXXXX XXXX I canceled my XXXX auto insurance policy after discovering an issue involving an incorrect address on my account. I provided documentation showing the correct information, but XXXX advised that the documentation was submitted after the cancellation date and that a remaining balance was still owed. I also informed them that I was not receiving any letters or documents mailed to me due to the address they were sending it to was incorrect. During my communication with XXXX, I was informed that the matter was under review and that no additional fees or collection activity would occur while the review was ongoing. Despite this, the account was later placed with Credit Collection Services for collection. I am requesting that XXXX and Credit Collection Services provide documentation supporting the validity and accuracy of the alleged balance, including a detailed breakdown of the amount owed, account history, and the basis for sending the account to collections. I also request that any inaccurate information be corrected and that the companies work toward a fair resolution. If the balance is determined to be valid, I am requesting the opportunity to resolve the matter through a written agreement that prevents negative credit reporting or includes deletion of any reported collection account after resolution."
23766635,Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,PORTFOLIO RC is falsely reporting on my credit. I have never had any accounts with them. Per my research PORTFOLIO RC is a debt collector. They are falsely reporting on my credit!! Account number is # XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.
23940452,Debt collection,False statements or representation,Attempted to collect wrong amount,"Before this lawsuit was filed, XXXX had offered me a settlement for approximately {$2000.00} to resolve my XXXX credit card account. After the account was transferred for collection, I contacted Rubin & Rothman , LLC in good faith to resolve the matter. I explained that I wanted to accept the same settlement terms that had previously been offered by XXXX. However, they refused to work with me and told me that I had to pay the much higher amount they are now demanding in the lawsuit. That was not the settlement I had previously been offered. I am nearly XXXX XXXX XXXX, have serious health problems, and have very limited financial resources. I am trying to resolve this debt fairly, but I have not been given the opportunity to do so."
23766739,Debt collection,Attempts to collect debt not owed,Debt is not yours,"b'I am filing this complaint against XXXX XXXX XXXX XXXX XXXX regarding their continued attempt to collect a debt that is void and unenforceable under California law, and their repeated failure to provide adequate debt validation as required under the Fair Debt Collection Practices Act, 15 U.S.C. 1692g.\n\nBACKGROUND\n\nIn approximately XXXX XXXX XXXX began reporting a collection account (Account No. XXXX, original account No. XXXX) to my credit reports, claiming a balance of $XXXX XXXX placed repeated telephone calls to me beginning before I was aware of their identity. I did not recognize these calls and did not answer them.\n\nOn XXXX XXXX XXXX, I filed a dispute with XXXX regarding this account. On XXXX XXXX XXXX, TransUnion returned the account as ""VERIFIED AS ACCURATE"" with no substantive explanation of how this verification was conducted. During this dispute period, XXXX continued placing telephone calls to me, including documented calls on XXXX XXXX XXXX (from XXXX XXXX XXXX and XXXX XXXX XXXX (from XXXX XXXX XXXX) two different phone numbers, both identified by caller ID as XXXX. At that time, I had not yet sent XXXX a direct written dispute, so I do not allege this calling activity alone violated 15 U.S.C. 1692g(b). However, this pattern of continued contact from multiple numbers during a period in which the underlying account was actively disputed with a credit bureau is relevant context for evaluating XXXX\'s overall conduct and is documented in my records.\n\nOn XXXX XXXX XXXX XXXX mailed me a letter (received XXXX XXXX XXXX, a ten-day delay for presorted first-class mail addressed to an outdated address) enclosing only the original Installment Loan Agreement, which revealed that the underlying obligation was issued by XXXX XXXX XXXX c/o CreditNinja on XXXX XXXX XXXX, with a stated principal of $XXXX and an Annual Percentage Rate of 179.00% generating a finance charge of $XXXX.\n\nTHE UNDERLYING DEBT IS VOID UNDER CALIFORNIA LAW\n\nCalifornia Financial Code 22303 caps interest rates on consumer installment loans under $XXXX at 36% APR. The 179.00% APR reflected in the alleged loan agreement is nearly five times this statutory cap. California Financial Code 22651 renders loans made in violation of this cap void meaning no person has the right to collect principal, charges, or recompense on the loan.\n\nOn XXXX XXXX XXXX one week after the alleged loan was purportedly originated the XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX) entered a Settlement Agreement against CreditNinja Lending, LLC (California Finance Lender License No. XXXX), citing violations of California Financial Code Sections 22303, 22304, 22304.5, 22305, and 22320.5 the exact provisions governing the rate cap applicable to this alleged obligation. This is a matter of public record, documented in XXXX\'s official XXXX XXXX Summary of Enforcement Actions.\n\nNCA\'S VALIDATION RESPONSE WAS INADEQUATE TWICE\n\nOn XXXX XXXX XXXX, I sent XXXX a formal written validation demand via certified mail (delivered and signed for XXXX XXXX XXXX, tracking number XXXX XXXX XXXX XXXX XXXX XXXX), disputing the validity of this alleged debt in its entirety and citing the FDCPA, the California Rosenthal Fair Debt Collection Practices Act, and the void nature of the underlying obligation under California law. I specifically demanded: (1) proof of chain of title from XXXX XXXX Bank/CreditNinja to XXXX; (2) an itemized account history explaining how the claimed balance grew from a stated principal of $XXXX to $XXXX; (3) the purchase price XXXX paid for this alleged debt; (4) proof of XXXX\'s California debt collection license; and (5) the legal basis for any added interest or fees.\n\nOn XXXX XXXX XXXX, I received a second letter from XXXX. This letter contained the identical documents previously sent the same cover letter format and the same Installment Loan Agreement with none of my specific demands addressed. XXXX did not provide chain of title documentation, did not explain the balance discrepancy, did not provide licensing information, and did not respond in any way to the void loan argument or the XXXX enforcement action I cited and enclosed as documentation. Receipt of these documents does not constitute, and should not be construed as, an admission that this alleged debt is valid, owed, or enforceable.\n\nThis pattern of sending an identical, non-responsive packet a second time after receiving a detailed written dispute is relevant to the statutory damages factors under 15 U.S.C. 1692k(b), which directs courts to consider ""the frequency and persistence of noncompliance by the debt collector"" and ""the extent to which such noncompliance was intentional."" XXXX\'s repetition of the same inadequate response, without engaging any of the specific legal and factual issues I raised, reflects persistent noncompliance rather than an isolated oversight.'"
24125478,Debt collection,Took or threatened to take negative or legal action,Collected or attempted to collect exempt funds,I have contacted this company several times asked for date account number proof of contract with collector are they licensed in my state
