concept,variant,threshold,n_yes,n_no,tp,fp,fn,tn,precision,recall,f1
identity_theft,A,0.3,7,53,5,0,2,53,1.0,0.714,0.833
identity_theft,A,0.5,7,53,5,0,2,53,1.0,0.714,0.833
identity_theft,A,0.7,7,53,5,0,2,53,1.0,0.714,0.833
identity_theft,A,0.9,7,53,5,0,2,53,1.0,0.714,0.833
identity_theft,B,0.3,7,53,7,24,0,29,0.226,1.0,0.368
identity_theft,B,0.5,7,53,7,17,0,36,0.292,1.0,0.452
identity_theft,B,0.7,7,53,7,7,0,46,0.5,1.0,0.667
identity_theft,B,0.9,7,53,7,1,0,52,0.875,1.0,0.933
identity_theft,C,0.3,7,53,7,0,0,53,1.0,1.0,1.0
identity_theft,C,0.5,7,53,7,0,0,53,1.0,1.0,1.0
identity_theft,C,0.7,7,53,7,0,0,53,1.0,1.0,1.0
identity_theft,C,0.9,7,53,5,0,2,53,1.0,0.714,0.833
insufficient_validation,A,0.3,21,35,11,0,10,35,1.0,0.524,0.688
insufficient_validation,A,0.5,21,35,8,0,13,35,1.0,0.381,0.552
insufficient_validation,A,0.7,21,35,5,0,16,35,1.0,0.238,0.385
insufficient_validation,A,0.9,21,35,2,0,19,35,1.0,0.095,0.174
insufficient_validation,B,0.3,21,35,19,7,2,28,0.731,0.905,0.809
insufficient_validation,B,0.5,21,35,17,3,4,32,0.85,0.81,0.829
insufficient_validation,B,0.7,21,35,15,2,6,33,0.882,0.714,0.789
insufficient_validation,B,0.9,21,35,13,1,8,34,0.929,0.619,0.743
insufficient_validation,C,0.3,21,35,20,7,1,28,0.741,0.952,0.833
insufficient_validation,C,0.5,21,35,20,0,1,35,1.0,0.952,0.976
insufficient_validation,C,0.7,21,35,20,0,1,35,1.0,0.952,0.976
insufficient_validation,C,0.9,21,35,13,0,8,35,1.0,0.619,0.765
wrong_amount,A,0.3,16,46,8,1,8,45,0.889,0.5,0.64
wrong_amount,A,0.5,16,46,7,0,9,46,1.0,0.438,0.609
wrong_amount,A,0.7,16,46,5,0,11,46,1.0,0.312,0.476
wrong_amount,A,0.9,16,46,2,0,14,46,1.0,0.125,0.222
wrong_amount,B,0.3,16,46,15,28,1,18,0.349,0.938,0.508
wrong_amount,B,0.5,16,46,15,22,1,24,0.405,0.938,0.566
wrong_amount,B,0.7,16,46,15,12,1,34,0.556,0.938,0.698
wrong_amount,B,0.9,16,46,13,5,3,41,0.722,0.812,0.765
wrong_amount,C,0.3,16,46,16,0,0,46,1.0,1.0,1.0
wrong_amount,C,0.5,16,46,12,0,4,46,1.0,0.75,0.857
wrong_amount,C,0.7,16,46,8,0,8,46,1.0,0.5,0.667
wrong_amount,C,0.9,16,46,3,0,13,46,1.0,0.188,0.316
credit_damage_threat,A,0.3,2,68,2,0,0,68,1.0,1.0,1.0
credit_damage_threat,A,0.5,2,68,2,0,0,68,1.0,1.0,1.0
credit_damage_threat,A,0.7,2,68,1,0,1,68,1.0,0.5,0.667
credit_damage_threat,A,0.9,2,68,1,0,1,68,1.0,0.5,0.667
credit_damage_threat,B,0.3,2,68,1,37,1,31,0.026,0.5,0.05
credit_damage_threat,B,0.5,2,68,1,36,1,32,0.027,0.5,0.051
credit_damage_threat,B,0.7,2,68,1,32,1,36,0.03,0.5,0.057
credit_damage_threat,B,0.9,2,68,1,21,1,47,0.045,0.5,0.083
credit_damage_threat,C,0.3,2,68,2,0,0,68,1.0,1.0,1.0
credit_damage_threat,C,0.5,2,68,2,0,0,68,1.0,1.0,1.0
credit_damage_threat,C,0.7,2,68,2,0,0,68,1.0,1.0,1.0
credit_damage_threat,C,0.9,2,68,1,0,1,68,1.0,0.5,0.667
arrest_threat,A,0.3,3,69,3,0,0,69,1.0,1.0,1.0
arrest_threat,A,0.5,3,69,3,0,0,69,1.0,1.0,1.0
arrest_threat,A,0.7,3,69,2,0,1,69,1.0,0.667,0.8
arrest_threat,A,0.9,3,69,1,0,2,69,1.0,0.333,0.5
arrest_threat,B,0.3,3,69,3,1,0,68,0.75,1.0,0.857
arrest_threat,B,0.5,3,69,3,1,0,68,0.75,1.0,0.857
arrest_threat,B,0.7,3,69,2,1,1,68,0.667,0.667,0.667
arrest_threat,B,0.9,3,69,0,0,3,69,,0.0,0.0
arrest_threat,C,0.3,3,69,3,0,0,69,1.0,1.0,1.0
arrest_threat,C,0.5,3,69,3,0,0,69,1.0,1.0,1.0
arrest_threat,C,0.7,3,69,3,0,0,69,1.0,1.0,1.0
arrest_threat,C,0.9,3,69,3,0,0,69,1.0,1.0,1.0
sued_no_notice,A,0.3,4,68,3,0,1,68,1.0,0.75,0.857
sued_no_notice,A,0.5,4,68,3,0,1,68,1.0,0.75,0.857
sued_no_notice,A,0.7,4,68,3,0,1,68,1.0,0.75,0.857
sued_no_notice,A,0.9,4,68,3,0,1,68,1.0,0.75,0.857
sued_no_notice,B,0.3,4,68,4,23,0,45,0.148,1.0,0.258
sued_no_notice,B,0.5,4,68,4,16,0,52,0.2,1.0,0.333
sued_no_notice,B,0.7,4,68,4,13,0,55,0.235,1.0,0.381
sued_no_notice,B,0.9,4,68,4,6,0,62,0.4,1.0,0.571
sued_no_notice,C,0.3,4,68,4,0,0,68,1.0,1.0,1.0
sued_no_notice,C,0.5,4,68,4,0,0,68,1.0,1.0,1.0
sued_no_notice,C,0.7,4,68,4,0,0,68,1.0,1.0,1.0
sued_no_notice,C,0.9,4,68,3,0,1,68,1.0,0.75,0.857
