concept,variant,threshold,n_yes,n_no,tp,fp,fn,tn,precision,recall,f1
identity_theft,A,0.3,18,144,12,1,6,143,0.923,0.667,0.774
identity_theft,A,0.5,18,144,11,0,7,144,1.0,0.611,0.759
identity_theft,A,0.7,18,144,10,0,8,144,1.0,0.556,0.714
identity_theft,A,0.9,18,144,10,0,8,144,1.0,0.556,0.714
identity_theft,B,0.3,18,144,18,99,0,45,0.154,1.0,0.267
identity_theft,B,0.5,18,144,18,73,0,71,0.198,1.0,0.33
identity_theft,B,0.7,18,144,18,54,0,90,0.25,1.0,0.4
identity_theft,B,0.9,18,144,17,38,1,106,0.309,0.944,0.466
identity_theft,C,0.3,18,144,18,8,0,136,0.692,1.0,0.818
identity_theft,C,0.5,18,144,18,3,0,141,0.857,1.0,0.923
identity_theft,C,0.7,18,144,15,1,3,143,0.938,0.833,0.882
identity_theft,C,0.9,18,144,13,0,5,144,1.0,0.722,0.839
insufficient_validation,A,0.3,97,65,35,0,62,65,1.0,0.361,0.53
insufficient_validation,A,0.5,97,65,26,0,71,65,1.0,0.268,0.423
insufficient_validation,A,0.7,97,65,17,0,80,65,1.0,0.175,0.298
insufficient_validation,A,0.9,97,65,10,0,87,65,1.0,0.103,0.187
insufficient_validation,B,0.3,97,65,90,18,7,47,0.833,0.928,0.878
insufficient_validation,B,0.5,97,65,84,12,13,53,0.875,0.866,0.87
insufficient_validation,B,0.7,97,65,81,6,16,59,0.931,0.835,0.88
insufficient_validation,B,0.9,97,65,74,3,23,62,0.961,0.763,0.851
insufficient_validation,C,0.3,97,65,80,9,17,56,0.899,0.825,0.86
insufficient_validation,C,0.5,97,65,69,4,28,61,0.945,0.711,0.812
insufficient_validation,C,0.7,97,65,60,2,37,63,0.968,0.619,0.755
insufficient_validation,C,0.9,97,65,37,0,60,65,1.0,0.381,0.552
wrong_amount,A,0.3,41,120,23,4,18,116,0.852,0.561,0.676
wrong_amount,A,0.5,41,120,20,2,21,118,0.909,0.488,0.635
wrong_amount,A,0.7,41,120,13,0,28,120,1.0,0.317,0.481
wrong_amount,A,0.9,41,120,5,0,36,120,1.0,0.122,0.217
wrong_amount,B,0.3,41,120,41,80,0,40,0.339,1.0,0.506
wrong_amount,B,0.5,41,120,40,67,1,53,0.374,0.976,0.541
wrong_amount,B,0.7,41,120,39,47,2,73,0.453,0.951,0.614
wrong_amount,B,0.9,41,120,34,30,7,90,0.531,0.829,0.648
wrong_amount,C,0.3,41,120,37,8,4,112,0.822,0.902,0.86
wrong_amount,C,0.5,41,120,34,1,7,119,0.971,0.829,0.895
wrong_amount,C,0.7,41,120,26,0,15,120,1.0,0.634,0.776
wrong_amount,C,0.9,41,120,11,0,30,120,1.0,0.268,0.423
credit_damage_threat,A,0.3,3,159,3,1,0,158,0.75,1.0,0.857
credit_damage_threat,A,0.5,3,159,2,0,1,159,1.0,0.667,0.8
credit_damage_threat,A,0.7,3,159,2,0,1,159,1.0,0.667,0.8
credit_damage_threat,A,0.9,3,159,2,0,1,159,1.0,0.667,0.8
credit_damage_threat,B,0.3,3,159,3,104,0,55,0.028,1.0,0.055
credit_damage_threat,B,0.5,3,159,3,97,0,62,0.03,1.0,0.058
credit_damage_threat,B,0.7,3,159,3,87,0,72,0.033,1.0,0.065
credit_damage_threat,B,0.9,3,159,2,65,1,94,0.03,0.667,0.057
credit_damage_threat,C,0.3,3,159,2,2,1,157,0.5,0.667,0.571
credit_damage_threat,C,0.5,3,159,2,1,1,158,0.667,0.667,0.667
credit_damage_threat,C,0.7,3,159,2,0,1,159,1.0,0.667,0.8
credit_damage_threat,C,0.9,3,159,2,0,1,159,1.0,0.667,0.8
arrest_threat,A,0.3,2,160,1,0,1,160,1.0,0.5,0.667
arrest_threat,A,0.5,2,160,1,0,1,160,1.0,0.5,0.667
arrest_threat,A,0.7,2,160,1,0,1,160,1.0,0.5,0.667
arrest_threat,A,0.9,2,160,0,0,2,160,,0.0,
arrest_threat,B,0.3,2,160,2,2,0,158,0.5,1.0,0.667
arrest_threat,B,0.5,2,160,2,1,0,159,0.667,1.0,0.8
arrest_threat,B,0.7,2,160,2,1,0,159,0.667,1.0,0.8
arrest_threat,B,0.9,2,160,2,1,0,159,0.667,1.0,0.8
arrest_threat,C,0.3,2,160,2,0,0,160,1.0,1.0,1.0
arrest_threat,C,0.5,2,160,2,0,0,160,1.0,1.0,1.0
arrest_threat,C,0.7,2,160,2,0,0,160,1.0,1.0,1.0
arrest_threat,C,0.9,2,160,0,0,2,160,,0.0,
sued_no_notice,A,0.3,6,156,5,0,1,156,1.0,0.833,0.909
sued_no_notice,A,0.5,6,156,5,0,1,156,1.0,0.833,0.909
sued_no_notice,A,0.7,6,156,3,0,3,156,1.0,0.5,0.667
sued_no_notice,A,0.9,6,156,2,0,4,156,1.0,0.333,0.5
sued_no_notice,B,0.3,6,156,6,25,0,131,0.194,1.0,0.324
sued_no_notice,B,0.5,6,156,6,22,0,134,0.214,1.0,0.353
sued_no_notice,B,0.7,6,156,6,17,0,139,0.261,1.0,0.414
sued_no_notice,B,0.9,6,156,6,13,0,143,0.316,1.0,0.48
sued_no_notice,C,0.3,6,156,6,1,0,155,0.857,1.0,0.923
sued_no_notice,C,0.5,6,156,5,1,1,155,0.833,0.833,0.833
sued_no_notice,C,0.7,6,156,5,0,1,156,1.0,0.833,0.909
sued_no_notice,C,0.9,6,156,4,0,2,156,1.0,0.667,0.8
