concept,variant,yes_n,yes_min_q1_med_q3_max,no_n,no_min_q1_med_q3_max,unclear_n,unclear_median,roc_auc,pr_auc_avg_precision
identity_theft,A,18,"[0.03, 0.1, 0.915, 0.98, 0.99]",144,"[0.02, 0.02, 0.03, 0.03, 0.31]",0,,0.973,0.956
identity_theft,B,18,"[0.86, 0.98, 0.99, 0.99, 0.99]",144,"[0.03, 0.24, 0.515, 0.9, 0.99]",0,,0.942,0.867
identity_theft,C,18,"[0.56, 0.85, 0.97, 0.99, 0.99]",144,"[0.02, 0.03, 0.03, 0.06, 0.73]",0,,0.997,0.98
insufficient_validation,A,97,"[0.03, 0.06, 0.14, 0.51, 0.97]",65,"[0.02, 0.03, 0.03, 0.03, 0.21]",0,,0.949,0.979
insufficient_validation,B,97,"[0.08, 0.92, 0.98, 0.99, 1.0]",65,"[0.04, 0.08, 0.13, 0.35, 0.94]",0,,0.943,0.967
insufficient_validation,C,97,"[0.11, 0.35, 0.83, 0.94, 0.99]",65,"[0.02, 0.07, 0.11, 0.18, 0.84]",0,,0.917,0.949
wrong_amount,A,41,"[0.05, 0.12, 0.49, 0.79, 0.98]",120,"[0.02, 0.04, 0.05, 0.06, 0.66]",1,0.3,0.926,0.856
wrong_amount,B,41,"[0.36, 0.91, 0.98, 0.99, 0.99]",120,"[0.04, 0.21, 0.55, 0.88, 0.99]",1,0.18,0.869,0.757
wrong_amount,C,41,"[0.06, 0.61, 0.82, 0.9, 0.98]",120,"[0.02, 0.04, 0.05, 0.09, 0.58]",1,0.72,0.979,0.961
credit_damage_threat,A,3,"[0.43, 0.43, 0.91, 0.92, 0.92]",159,"[0.03, 0.04, 0.04, 0.06, 0.48]",0,,0.998,0.917
credit_damage_threat,B,3,"[0.72, 0.72, 0.97, 0.98, 0.98]",159,"[0.03, 0.06, 0.81, 0.94, 0.99]",0,,0.752,0.099
credit_damage_threat,C,3,"[0.28, 0.28, 0.94, 0.96, 0.96]",159,"[0.02, 0.03, 0.03, 0.04, 0.61]",0,,0.996,0.867
arrest_threat,A,2,"[0.07, 0.07, 0.4, 0.73, 0.73]",160,"[0.02, 0.03, 0.03, 0.03, 0.05]",0,,1.0,1.0
arrest_threat,B,2,"[0.9, 0.9, 0.93, 0.96, 0.96]",160,"[0.02, 0.02, 0.03, 0.03, 0.97]",0,,0.994,0.583
arrest_threat,C,2,"[0.83, 0.83, 0.85, 0.87, 0.87]",160,"[0.01, 0.01, 0.02, 0.02, 0.08]",0,,1.0,1.0
sued_no_notice,A,6,"[0.07, 0.54, 0.665, 0.96, 0.96]",156,"[0.02, 0.02, 0.03, 0.03, 0.06]",0,,1.0,1.0
sued_no_notice,B,6,"[0.99, 0.99, 0.99, 0.99, 0.99]",156,"[0.03, 0.05, 0.08, 0.14, 0.99]",0,,0.981,1.0
sued_no_notice,C,6,"[0.43, 0.82, 0.945, 0.96, 0.98]",156,"[0.01, 0.01, 0.02, 0.02, 0.58]",0,,0.999,0.976
